"hr_id","animal_id","species","sex","year","month","season","n_pts","n_days"
"00740_MD15F0014_2017_07","MD15F0014","Mule Deer","F",2017,7,"Summer",118,30.5833333333333
"00741_MD15F0014_2018_02","MD15F0014","Mule Deer","F",2018,2,"Winter",104,27.125
"00742_MD15F0014_2018_07","MD15F0014","Mule Deer","F",2018,7,"Summer",116,30.25
"00743_MD15F0014_2019_02","MD15F0014","Mule Deer","F",2019,2,"Winter",646,27.9166666666667
"00744_MD15F0014_2019_07","MD15F0014","Mule Deer","F",2019,7,"Summer",742,30.9166666666667
"00746_MD15F0016_2016_02","MD15F0016","Mule Deer","F",2016,2,"Winter",110,28.7083333333333
"00747_MD15F0016_2016_07","MD15F0016","Mule Deer","F",2016,7,"Summer",122,30.2916666666667
"00748_MD15F0016_2017_02","MD15F0016","Mule Deer","F",2017,2,"Winter",114,27.625
"00749_MD15F0016_2017_07","MD15F0016","Mule Deer","F",2017,7,"Summer",114,30.5833333333333
"00750_MD15F0016_2018_02","MD15F0016","Mule Deer","F",2018,2,"Winter",104,27.6666666666667
"00751_MD15F0016_2018_07","MD15F0016","Mule Deer","F",2018,7,"Summer",112,30.25
"00752_MD15F0016_2019_02","MD15F0016","Mule Deer","F",2019,2,"Winter",644,27.9166666666667
"00753_MD15F0016_2019_07","MD15F0016","Mule Deer","F",2019,7,"Summer",742,30.9166666666667
"00754_MD15F0016_2020_02","MD15F0016","Mule Deer","F",2020,2,"Winter",696,28.9166666666667
"00755_MD15F0016_2020_07","MD15F0016","Mule Deer","F",2020,7,"Summer",696,30.9166666666667
"00756_MD15F0016_2021_02","MD15F0016","Mule Deer","F",2021,2,"Winter",670,27.9166666666667
"00757_MD15F0016_2021_07","MD15F0016","Mule Deer","F",2021,7,"Summer",740,30.9166666666667
"00760_MD15F0017_2016_02","MD15F0017","Mule Deer","F",2016,2,"Winter",112,28.7083333333333
"00761_MD15F0017_2016_07","MD15F0017","Mule Deer","F",2016,7,"Summer",66,29.2083333333333
